crm_id,deal_name,company_name,stage,amount,days_stalled,rep_touchpoints,client_engagement_index,calculated_flight_risk,predicted_cycle_days,est_days_left,flight_risk_pct,crm_source
006fj00000GXAVeAAP,"Harrison, Johnson and Roberts - Q3 License","Harrison, Johnson and Roberts",Prospecting,79100.0,1,2,5.8,4.2,8.0,7.0,4.2,
006fj00000GXD5LAAX,White-Estes - Q3 License,White-Estes,Prospecting,25100.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXDzmAAH,"Diaz, Gibbs and Smith - Q3 License","Diaz, Gibbs and Smith",Prospecting,36600.0,1,2,5.8,3.8,6.0,5.0,3.8,
006fj00000GXEPaAAP,"Garcia, Humphrey and Baker - Q3 License","Garcia, Humphrey and Baker",Value Proposition,89800.0,1,2,5.8,4.3,9.0,8.0,4.3,
006fj00000GXF3uAAH,Santana-Byrd - Q3 License,Santana-Byrd,Prospecting,14400.0,1,2,5.8,4.1,7.0,6.0,4.1,
006fj00000GXF8kAAH,"Stanley, Tucker and Lee - Q3 License","Stanley, Tucker and Lee",Prospecting,28700.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXFNGAA5,Jimenez Ltd - Q3 License,Jimenez Ltd,Value Proposition,50800.0,1,2,5.8,3.9,6.0,5.0,3.9,
006fj00000GXGw2AAH,"Wood, Hunter and Peterson - Q3 License","Wood, Hunter and Peterson",Value Proposition,16900.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXGw3AAH,Wolf-Harris - Q3 License,Wolf-Harris,Prospecting,60900.0,1,2,5.8,4.2,8.0,7.0,4.2,
006fj00000GXGzGAAX,"Williams, Logan and Camacho - Q3 License","Williams, Logan and Camacho",Prospecting,68600.0,1,2,5.8,4.2,8.0,7.0,4.2,
006fj00000GXH2UAAX,Spence PLC - Q3 License,Spence PLC,Value Proposition,9300.0,1,2,5.8,6.0,8.0,7.0,6.0,
006fj00000GXHCAAA5,Walsh LLC - Q3 License,Walsh LLC,Prospecting,15900.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXIt2AAH,"Tapia, Vaughn and Lee - Q3 License","Tapia, Vaughn and Lee",Prospecting,31800.0,1,2,5.8,4.0,6.0,5.0,4.0,
006fj00000GXIt3AAH,Buchanan LLC - Q3 License,Buchanan LLC,Prospecting,58600.0,1,2,5.8,4.2,7.0,6.0,4.2,
006fj00000GXJ2kAAH,Reed Group - Q3 License,Reed Group,Value Proposition,31100.0,1,2,5.8,4.0,6.0,5.0,4.0,
006fj00000GXJ9dAAH,Williams Inc - Q3 License,Williams Inc,Prospecting,17600.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXJykAAH,"Harvey, Davis and Crane - Q3 License","Harvey, Davis and Crane",Prospecting,28700.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXK0MAAX,Gray-Mayo - Q3 License,Gray-Mayo,Value Proposition,26200.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXK5DAAX,Garcia LLC - Q3 License,Garcia LLC,Prospecting,62000.0,1,2,5.8,4.2,8.0,7.0,4.2,
006fj00000GXKMwAAP,Moore-Bass - Q3 License,Moore-Bass,Prospecting,21000.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXKV0AAP,Cordova Group - Q3 License,Cordova Group,Value Proposition,18000.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXKWcAAP,"Lucas, Parker and Alexander - Q3 License","Lucas, Parker and Alexander",Prospecting,13900.0,1,2,5.8,4.1,7.0,6.0,4.1,
006fj00000GXKpzAAH,Cortez LLC - Q3 License,Cortez LLC,Prospecting,10200.0,1,2,5.8,2.9,8.0,7.0,2.9,
006fj00000GXLGHAA5,Ortiz Ltd - Q3 License,Ortiz Ltd,Prospecting,28500.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXLZ9AAP,Walker-Jones - Q3 License,Walker-Jones,Value Proposition,41600.0,1,2,5.8,4.2,6.0,5.0,4.2,
006fj00000GXLZAAA5,Sheppard LLC - Q3 License,Sheppard LLC,Prospecting,30700.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXLdyAAH,Parsons-Hall - Q3 License,Parsons-Hall,Prospecting,46300.0,1,2,5.8,3.9,6.0,5.0,3.9,
006fj00000GXLyPAAX,Sanders-Espinoza - Q3 License,Sanders-Espinoza,Value Proposition,23500.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXLzSAAX,Garcia-Jennings - Q3 License,Garcia-Jennings,Value Proposition,54500.0,1,2,5.8,4.2,6.0,5.0,4.2,
006fj00000GXM13AAH,"Walter, Edwards and Rios - Q3 License","Walter, Edwards and Rios",Prospecting,72700.0,1,2,5.8,4.2,8.0,7.0,4.2,
006fj00000GXM14AAH,Ware and Sons - Q3 License,Ware and Sons,Prospecting,103100.0,1,2,5.8,4.2,8.0,7.0,4.2,
006fj00000GXMlKAAX,Lopez-Martinez - Q3 License,Lopez-Martinez,Value Proposition,13200.0,1,2,5.8,3.0,7.0,6.0,3.0,
006fj00000GXN0LAAX,Blair PLC - Q3 License,Blair PLC,Value Proposition,13000.0,1,2,5.8,3.0,8.0,7.0,3.0,
006fj00000GXNKoAAP,Smith PLC - Q3 License,Smith PLC,Prospecting,35600.0,1,2,5.8,3.8,6.0,5.0,3.8,
006fj00000GXNT4AAP,Hernandez Inc - Q3 License,Hernandez Inc,Prospecting,6400.0,1,2,5.8,12.7,9.0,8.0,12.7,
006fj00000GXNawAAH,"Ferrell, Rice and Maddox - Q3 License","Ferrell, Rice and Maddox",Prospecting,39100.0,1,2,5.8,3.8,6.0,5.0,3.8,
006fj00000GXNeAAAX,Jones PLC - Q3 License,Jones PLC,Prospecting,38800.0,1,2,5.8,3.8,6.0,5.0,3.8,
006fj00000GXNfmAAH,"Smith, Garrison and Thomas - Q3 License","Smith, Garrison and Thomas",Value Proposition,10400.0,1,2,5.8,2.9,8.0,7.0,2.9,
006fj00000GXNxWAAX,Good-Hodges - Q3 License,Good-Hodges,Prospecting,25000.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXOC2AAP,Carlson-Cruz - Q3 License,Carlson-Cruz,Prospecting,13800.0,1,2,5.8,3.7,7.0,6.0,3.7,
006fj00000GXODeAAP,"Shaw, Nelson and Martin - Q3 License","Shaw, Nelson and Martin",Prospecting,11100.0,1,2,5.8,2.9,8.0,7.0,2.9,
006fj00000GXODfAAP,Edwards-Scott - Q3 License,Edwards-Scott,Prospecting,60400.0,1,2,5.8,4.2,8.0,7.0,4.2,
006fj00000GXOHOAA5,King-Martinez - Q3 License,King-Martinez,Prospecting,62300.0,1,2,5.8,4.2,8.0,7.0,4.2,
006fj00000GXOdSAAX,"Flowers, Martin and Kelly - Q3 License","Flowers, Martin and Kelly",Prospecting,7600.0,1,2,5.8,7.7,10.0,9.0,7.7,
006fj00000GXOsTAAX,Williams-Brown - Q3 License,Williams-Brown,Prospecting,13400.0,1,2,5.8,3.0,7.0,6.0,3.0,
006fj00000GXOu5AAH,"Mcclure, Ward and Lee - Q3 License","Mcclure, Ward and Lee",Prospecting,72400.0,1,2,5.8,4.2,8.0,7.0,4.2,
006fj00000GXPBKAA5,"Clark, Guerrero and Moore - Q3 License","Clark, Guerrero and Moore",Value Proposition,40000.0,1,2,5.8,4.2,6.0,5.0,4.2,
006fj00000GXPMcAAP,"Lee, Horton and Snyder - Q3 License","Lee, Horton and Snyder",Value Proposition,20000.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXPi5AAH,"Burke, Martinez and Riggs - Q3 License","Burke, Martinez and Riggs",Prospecting,11000.0,1,2,5.8,2.9,8.0,7.0,2.9,
006fj00000GXPq9AAH,Stafford Inc - Q3 License,Stafford Inc,Negotiation/Review,10900.0,1,2,5.8,2.9,8.0,7.0,2.9,
006fj00000GXPqAAAX,"Brennan, Wallace and Benson - Q3 License","Brennan, Wallace and Benson",Prospecting,15100.0,1,2,5.8,4.4,7.0,6.0,4.4,
006fj00000GXQIgAAP,"Evans, Hayden and Vaughn - Q3 License","Evans, Hayden and Vaughn",Negotiation/Review,44700.0,1,2,5.8,3.9,6.0,5.0,3.9,
006fj00000GXQLuAAP,Williams-Cook - Q3 License,Williams-Cook,Prospecting,24600.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXQNVAA5,"Gardner, Robinson and Lawrence - Q3 License","Gardner, Robinson and Lawrence",Prospecting,36600.0,1,2,5.8,3.8,6.0,5.0,3.8,
006fj00000GXQP8AAP,Burton Ltd - Q3 License,Burton Ltd,Value Proposition,13800.0,1,2,5.8,3.7,7.0,6.0,3.7,
006fj00000GXQQjAAP,"Henderson, Ramirez and Lewis - Q3 License","Henderson, Ramirez and Lewis",Prospecting,33300.0,1,2,5.8,3.8,6.0,5.0,3.8,
006fj00000GXQSLAA5,Garcia-James - Q3 License,Garcia-James,Prospecting,7200.0,1,2,5.8,9.7,9.0,8.0,9.7,
006fj00000GXQTxAAP,Abbott-Munoz - Q3 License,Abbott-Munoz,Prospecting,41200.0,1,2,5.8,4.2,6.0,5.0,4.2,
006fj00000GXQVZAA5,Dudley Group - Q3 License,Dudley Group,Prospecting,10100.0,1,2,5.8,2.9,8.0,7.0,2.9,
006fj00000GXQXCAA5,"Lawson, Morris and Ramos - Q3 License","Lawson, Morris and Ramos",Prospecting,19200.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXQXDAA5,Brennan-Johnson - Q3 License,Brennan-Johnson,Prospecting,13000.0,1,2,5.8,3.0,8.0,7.0,3.0,
006fj00000GXQYnAAP,Williams and Sons - Q3 License,Williams and Sons,Prospecting,18000.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXQaPAAX,Galloway-Wyatt - Q3 License,Galloway-Wyatt,Value Proposition,101400.0,1,2,5.8,4.2,8.0,7.0,4.2,
006fj00000GXQc1AAH,James Group - Q3 License,James Group,Prospecting,19400.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXQddAAH,"Adams, Zuniga and Wong - Q3 License","Adams, Zuniga and Wong",Prospecting,12200.0,1,2,5.8,3.0,8.0,7.0,3.0,
006fj00000GXQfFAAX,"Reid, Ferguson and Sanchez - Q3 License","Reid, Ferguson and Sanchez",Value Proposition,79900.0,1,2,5.8,3.8,8.0,7.0,3.8,
006fj00000GXQfGAAX,Morales-Jones - Q3 License,Morales-Jones,Value Proposition,44400.0,1,2,5.8,3.9,6.0,5.0,3.9,
006fj00000GXQlhAAH,"Hoffman, Baker and Richards - Q3 License","Hoffman, Baker and Richards",Prospecting,10300.0,1,2,5.8,2.9,8.0,7.0,2.9,
006fj00000GXQliAAH,Johnston-Hines - Q3 License,Johnston-Hines,Negotiation/Review,18300.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXQnJAAX,"Ross, Robinson and Bright - Q3 License","Ross, Robinson and Bright",Prospecting,21400.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXQtlAAH,Smith-Bowen - Q3 License,Smith-Bowen,Value Proposition,24700.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXQvNAAX,"Baker, Mason and White - Q3 License","Baker, Mason and White",Value Proposition,14200.0,1,2,5.8,4.1,7.0,6.0,4.1,
006fj00000GXR0DAAX,Ryan PLC - Q3 License,Ryan PLC,Prospecting,6800.0,1,2,5.8,9.7,9.0,8.0,9.7,
006fj00000GXR1pAAH,Rodriguez LLC - Q3 License,Rodriguez LLC,Prospecting,9000.0,1,2,5.8,6.0,10.0,9.0,6.0,
006fj00000GXR3RAAX,Allen-Allen - Q3 License,Allen-Allen,Prospecting,17700.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXR3SAAX,"Arroyo, Miller and Tucker - Q3 License","Arroyo, Miller and Tucker",Negotiation/Review,27800.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXR6fAAH,"Martin, Rose and Obrien - Q3 License","Martin, Rose and Obrien",Prospecting,13300.0,1,2,5.8,3.0,7.0,6.0,3.0,
006fj00000GXR6gAAH,Miller-Wright - Q3 License,Miller-Wright,Prospecting,242000.0,1,2,5.8,3.7,8.0,7.0,3.7,
006fj00000GXR8HAAX,Hickman Ltd - Q3 License,Hickman Ltd,Value Proposition,35100.0,1,2,5.8,3.8,6.0,5.0,3.8,
006fj00000GXR9tAAH,Walker LLC - Q3 License,Walker LLC,Prospecting,34300.0,1,2,5.8,3.8,6.0,5.0,3.8,
006fj00000GXRBVAA5,Chapman and Sons - Q3 License,Chapman and Sons,Prospecting,19200.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXRD7AAP,"Robinson, Jones and Welch - Q3 License","Robinson, Jones and Welch",Prospecting,23900.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXREjAAP,Jones Inc - Q3 License,Jones Inc,Prospecting,113400.0,1,2,5.8,4.2,8.0,7.0,4.2,
006fj00000GXRLBAA5,"Johnston, Sanchez and Kennedy - Q3 License","Johnston, Sanchez and Kennedy",Prospecting,57700.0,1,2,5.8,4.2,7.0,6.0,4.2,
006fj00000GXRMnAAP,Lee-Davis - Q3 License,Lee-Davis,Prospecting,56900.0,1,2,5.8,4.2,7.0,6.0,4.2,
006fj00000GXROPAA5,Gomez-Jenkins - Q3 License,Gomez-Jenkins,Prospecting,11900.0,1,2,5.8,3.9,8.0,7.0,3.9,
006fj00000GXRQ2AAP,"Lewis, Kennedy and Santana - Q3 License","Lewis, Kennedy and Santana",Value Proposition,59100.0,1,2,5.8,4.2,7.0,6.0,4.2,
006fj00000GXRQ3AAP,"Diaz, Anderson and Browning - Q3 License","Diaz, Anderson and Browning",Prospecting,43100.0,1,2,5.8,4.5,6.0,5.0,4.5,
006fj00000GXRRdAAP,Powell LLC - Q3 License,Powell LLC,Prospecting,101800.0,1,2,5.8,4.2,8.0,7.0,4.2,
006fj00000GXRTFAA5,Wright and Sons - Q3 License,Wright and Sons,Value Proposition,12100.0,1,2,5.8,3.0,8.0,7.0,3.0,
006fj00000GXRUrAAP,"West, Henderson and Ramirez - Q3 License","West, Henderson and Ramirez",Value Proposition,14300.0,1,2,5.8,4.1,7.0,6.0,4.1,
006fj00000GXRWTAA5,Baxter Inc - Q3 License,Baxter Inc,Prospecting,67100.0,1,2,5.8,4.2,9.0,8.0,4.2,
006fj00000GXRY5AAP,Morton-Chase - Q3 License,Morton-Chase,Prospecting,36900.0,1,2,5.8,3.8,6.0,5.0,3.8,
006fj00000GXRZhAAP,Williams PLC - Q3 License,Williams PLC,Prospecting,46200.0,1,2,5.8,3.9,6.0,5.0,3.9,
006fj00000GXReXAAX,Gray Group - Q3 License,Gray Group,Prospecting,68700.0,1,2,5.8,4.2,8.0,7.0,4.2,
006fj00000GXRgAAAX,Moon-White - Q3 License,Moon-White,Prospecting,77700.0,1,2,5.8,4.2,8.0,7.0,4.2,
006fj00000GXRhlAAH,House-Glover - Q3 License,House-Glover,Prospecting,75800.0,1,2,5.8,4.2,8.0,7.0,4.2,
006fj00000GXRmbAAH,"Daniels, Adkins and Brown - Q3 License","Daniels, Adkins and Brown",Prospecting,44900.0,1,2,5.8,3.9,6.0,5.0,3.9,
006fj00000GXRoDAAX,"Woods, Calhoun and Schmidt - Q3 License","Woods, Calhoun and Schmidt",Prospecting,47000.0,1,2,5.8,3.9,6.0,5.0,3.9,
006fj00000GXRt3AAH,"Sanchez, Wheeler and Harvey - Q3 License","Sanchez, Wheeler and Harvey",Prospecting,22800.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXRufAAH,Sandoval-Cunningham - Q3 License,Sandoval-Cunningham,Value Proposition,46700.0,1,2,5.8,3.9,6.0,5.0,3.9,
006fj00000GXRwHAAX,Donovan-Harris - Q3 License,Donovan-Harris,Prospecting,13200.0,1,2,5.8,3.0,7.0,6.0,3.0,
006fj00000GXRwIAAX,"Evans, Stewart and Walton - Q3 License","Evans, Stewart and Walton",Prospecting,25900.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXRxtAAH,"Edwards, Baker and Anderson - Q3 License","Edwards, Baker and Anderson",Prospecting,29200.0,1,2,5.8,4.0,6.0,5.0,4.0,
006fj00000GXRzVAAX,Anderson-Bailey - Q3 License,Anderson-Bailey,Value Proposition,26800.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXS17AAH,Suarez LLC - Q3 License,Suarez LLC,Prospecting,57600.0,1,2,5.8,4.2,7.0,6.0,4.2,
006fj00000GXS2jAAH,"Turner, Riggs and Roman - Q3 License","Turner, Riggs and Roman",Prospecting,8200.0,1,2,5.8,7.0,10.0,9.0,7.0,
006fj00000GXS5xAAH,Newton and Sons - Q3 License,Newton and Sons,Prospecting,10600.0,1,2,5.8,2.9,8.0,7.0,2.9,
006fj00000GXS7ZAAX,Campbell-Clark - Q3 License,Campbell-Clark,Prospecting,51600.0,1,2,5.8,3.9,6.0,5.0,3.9,
006fj00000GXS9CAAX,Meadows PLC - Q3 License,Meadows PLC,Prospecting,15000.0,1,2,5.8,4.4,7.0,6.0,4.4,
006fj00000GXSAnAAP,Wagner-King - Q3 License,Wagner-King,Prospecting,36700.0,1,2,5.8,3.8,6.0,5.0,3.8,
006fj00000GXSE1AAP,Figueroa PLC - Q3 License,Figueroa PLC,Value Proposition,17100.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXSE2AAP,Reid Group - Q3 License,Reid Group,Value Proposition,32100.0,1,2,5.8,3.8,6.0,5.0,3.8,
006fj00000GXSIrAAP,"Tran, Jordan and Williams - Q3 License","Tran, Jordan and Williams",Prospecting,28200.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXSIsAAP,Wells Inc - Q3 License,Wells Inc,Prospecting,12000.0,1,2,5.8,3.0,8.0,7.0,3.0,
006fj00000GXSKTAA5,Nolan-Flynn - Q3 License,Nolan-Flynn,Prospecting,16800.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXSM5AAP,Nolan and Sons - Q3 License,Nolan and Sons,Prospecting,51300.0,1,2,5.8,3.9,6.0,5.0,3.9,
006fj00000GXSPJAA5,"Wright, Garcia and Deleon - Q3 License","Wright, Garcia and Deleon",Value Proposition,97700.0,1,2,5.8,4.2,9.0,8.0,4.2,
006fj00000GXSQvAAP,Dickson-Brady - Q3 License,Dickson-Brady,Value Proposition,18700.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXSQwAAP,"Shields, Cochran and Adams - Q3 License","Shields, Cochran and Adams",Value Proposition,31600.0,1,2,5.8,4.0,6.0,5.0,4.0,
006fj00000GXSU9AAP,Patton-Jenkins - Q3 License,Patton-Jenkins,Prospecting,43400.0,1,2,5.8,4.5,6.0,5.0,4.5,
006fj00000GXSYzAAP,Torres-Pope - Q3 License,Torres-Pope,Prospecting,11000.0,1,2,5.8,2.9,8.0,7.0,2.9,
006fj00000GXSabAAH,Walker Ltd - Q3 License,Walker Ltd,Prospecting,59600.0,1,2,5.8,4.2,7.0,6.0,4.2,
006fj00000GXScDAAX,Ross LLC - Q3 License,Ross LLC,Value Proposition,60500.0,1,2,5.8,4.2,8.0,7.0,4.2,
006fj00000GXSdpAAH,Rasmussen LLC - Q3 License,Rasmussen LLC,Prospecting,16100.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXSdqAAH,Bass PLC - Q3 License,Bass PLC,Prospecting,38300.0,1,2,5.8,3.8,6.0,5.0,3.8,
006fj00000GXSfRAAX,May-Ross - Q3 License,May-Ross,Prospecting,30600.0,1,2,5.8,4.0,6.0,5.0,4.0,
006fj00000GXSh3AAH,"Rivera, Johnson and Wiley - Q3 License","Rivera, Johnson and Wiley",Prospecting,51400.0,1,2,5.8,3.9,6.0,5.0,3.9,
006fj00000GXSifAAH,Johnson-Carlson - Q3 License,Johnson-Carlson,Prospecting,70100.0,1,2,5.8,4.2,8.0,7.0,4.2,
006fj00000GXSkHAAX,Chandler-Edwards - Q3 License,Chandler-Edwards,Prospecting,197000.0,1,2,5.8,3.7,8.0,7.0,3.7,
006fj00000GXSnVAAX,"Joyce, Wilson and Lam - Q3 License","Joyce, Wilson and Lam",Prospecting,15900.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXSqjAAH,"Mcdaniel, Bentley and Mclaughlin - Q3 License","Mcdaniel, Bentley and Mclaughlin",Value Proposition,53000.0,1,2,5.8,3.9,6.0,5.0,3.9,
006fj00000GXSsLAAX,Diaz Inc - Q3 License,Diaz Inc,Value Proposition,24700.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXSvZAAX,"Parker, Ortiz and Powell - Q3 License","Parker, Ortiz and Powell",Prospecting,51800.0,1,2,5.8,3.9,6.0,5.0,3.9,
006fj00000GXSxBAAX,Spencer-Lee - Q3 License,Spencer-Lee,Prospecting,18300.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXSxDAAX,Wilson-Jimenez - Q3 License,Wilson-Jimenez,Value Proposition,11800.0,1,2,5.8,3.9,8.0,7.0,3.9,
006fj00000GXSynAAH,"Bentley, Byrd and Orr - Q3 License","Bentley, Byrd and Orr",Prospecting,117700.0,1,2,5.8,4.2,9.0,8.0,4.2,
006fj00000GXT0PAAX,"Carroll, Sullivan and Bass - Q3 License","Carroll, Sullivan and Bass",Prospecting,146400.0,1,2,5.8,4.2,8.0,7.0,4.2,
006fj00000GXT3dAAH,Chambers and Sons - Q3 License,Chambers and Sons,Prospecting,30300.0,1,2,5.8,4.0,6.0,5.0,4.0,
006fj00000GXT5FAAX,Riggs PLC - Q3 License,Riggs PLC,Prospecting,29400.0,1,2,5.8,4.0,6.0,5.0,4.0,
006fj00000GXT6rAAH,Gibson Ltd - Q3 License,Gibson Ltd,Prospecting,17100.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXTA5AAP,Hernandez Ltd - Q3 License,Hernandez Ltd,Prospecting,94400.0,1,2,5.8,4.2,9.0,8.0,4.2,
006fj00000GXTDKAA5,"Williams, Johnson and Wright - Q3 License","Williams, Johnson and Wright",Prospecting,48300.0,1,2,5.8,3.9,6.0,5.0,3.9,
006fj00000GXTEvAAP,Robinson-Brock - Q3 License,Robinson-Brock,Prospecting,57000.0,1,2,5.8,4.2,7.0,6.0,4.2,
006fj00000GXTGXAA5,"Holmes, Williams and Wright - Q3 License","Holmes, Williams and Wright",Prospecting,23800.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXTI9AAP,Bryant Group - Q3 License,Bryant Group,Prospecting,23800.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXTJlAAP,"Schmidt, Hansen and Stewart - Q3 License","Schmidt, Hansen and Stewart",Value Proposition,56000.0,1,2,5.8,4.2,6.0,5.0,4.2,
006fj00000GXTLNAA5,Salazar-Ball - Q3 License,Salazar-Ball,Prospecting,39000.0,1,2,5.8,3.8,6.0,5.0,3.8,
006fj00000GXTLOAA5,Lewis-Murphy - Q3 License,Lewis-Murphy,Value Proposition,39900.0,1,2,5.8,4.2,6.0,5.0,4.2,
006fj00000GXTObAAP,Manning Group - Q3 License,Manning Group,Value Proposition,64500.0,1,2,5.8,4.2,9.0,8.0,4.2,
006fj00000GXTQDAA5,Green-Wright - Q3 License,Green-Wright,Prospecting,22800.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXTRpAAP,Hill Inc - Q3 License,Hill Inc,Value Proposition,12500.0,1,2,5.8,3.0,8.0,7.0,3.0,
006fj00000GXTTRAA5,"Mitchell, Nelson and Flores - Q3 License","Mitchell, Nelson and Flores",Prospecting,15400.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXTV4AAP,Bell-Lane - Q3 License,Bell-Lane,Prospecting,29800.0,1,2,5.8,4.0,6.0,5.0,4.0,
006fj00000GXTYHAA5,Russell-Daniels - Q3 License,Russell-Daniels,Negotiation/Review,10100.0,1,2,5.8,2.9,8.0,7.0,2.9,
006fj00000GXTZtAAP,Brown-Wall - Q3 License,Brown-Wall,Prospecting,10300.0,1,2,5.8,2.9,8.0,7.0,2.9,
006fj00000GXTbVAAX,Stein-Silva - Q3 License,Stein-Silva,Prospecting,43700.0,1,2,5.8,4.5,6.0,5.0,4.5,
006fj00000GXTd8AAH,White-Green - Q3 License,White-Green,Prospecting,323900.0,1,2,5.8,3.7,8.0,7.0,3.7,
006fj00000GXTejAAH,Smith-Bell - Q3 License,Smith-Bell,Prospecting,46100.0,1,2,5.8,3.9,6.0,5.0,3.9,
006fj00000GXThxAAH,"Hurst, Freeman and Nelson - Q3 License","Hurst, Freeman and Nelson",Prospecting,38700.0,1,2,5.8,3.8,6.0,5.0,3.8,
006fj00000GXTlCAAX,"Miller, Murphy and Craig - Q3 License","Miller, Murphy and Craig",Prospecting,34600.0,1,2,5.8,3.8,6.0,5.0,3.8,
006fj00000GXTmnAAH,"Yates, Ramsey and Pittman - Q3 License","Yates, Ramsey and Pittman",Value Proposition,5000.0,1,2,5.8,11.7,9.0,8.0,11.7,
006fj00000GXToPAAX,Hooper PLC - Q3 License,Hooper PLC,Value Proposition,24700.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXTtFAAX,Ramirez-Bean - Q3 License,Ramirez-Bean,Negotiation/Review,23100.0,1,2,5.8,4.0,7.0,6.0,4.0,
006fj00000GXTy5AAH,"Gould, Marshall and Scott - Q3 License","Gould, Marshall and Scott",Prospecting,43400.0,1,2,5.8,4.5,6.0,5.0,4.5,
006fj00000GXTzhAAH,Jackson-Lawson - Q3 License,Jackson-Lawson,Prospecting,14200.0,1,2,5.8,4.1,7.0,6.0,4.1,
